text,label
free tarot texts find love life try free text chance free msgs,1
haf eaten wat time wan come,0
kallis ready bat nd innings,0
way school pls send ashleys number,0
claire havin borin time alone wanna cum nite chat hope luv claire xx callsminmoremobsemspoboxpowa,1
today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good,0
bookedthe hut also time way,0
kyou girl waiting reception ah,0
jokin lar depends phone father get lor,0
said text one time,0
watching movie already xy wants shop im shopping,0
sorry dai thought calling lot timeslil busyi call noon,0
still havent collected dough pls let know go place sent get control number,0
castor need see something,0
thats cool princess cover face hot sticky cum,0
im job profile seems like bpo,0
freemsg hey got videopic fones reply wild txt ill send pics hurry im bored work xxx prcvd stopstop,1
baaaaaaaabe wake miss crave need,0
waqt se pehle naseeb se zyada kisi ko kuch nahi miltazindgi wo nahi jo hum sochte hai zindgi wo hai jo ham jeetey hai,0
shit wasnt surprised went spent evening french guy met town fooled around bit didnt let fuck,0
busy trying finish new year looking forward finally meeting,0
onum ela pa normal,0
love want flood pretty pussy cum,0
oops got bit,0
buzzzz grins buzz ass buzz chest buzz cock keep phone vibrator feel shake,0
babe got enough money pick bread milk ill give back get home,0
yes replied mail im going management office later plus bank later alsoor wednesday,0
january male sale hot gay chat cheaper call national rate pmin cheap pmin peak stop texts call pmin,1
customer place call,0
want cock hubbys away need real man satisfy txt wife strings action txt stop end txt rec ea otbox la ws,1
finally match heading towards draw prediction,0
private account statement shows unredeemed points call identifier code expires,1
gain rights wifedont demand iti trying husband toolets see,0
cmon babe make horny turn txt fantasy babe im hot sticky need replies cost cancel send stop,1
told accenture confirm true,0
im back lemme know youre ready,0
pay first lar da stock comin,0
pls confirm time collect cheque,0
fighting world easy either win lose bt fightng close dificult lose lose win still lose,0
jay wants work first hows sound,0
aight pick open tonight,0
wow healthy old airport rd lor cant thk anything else ill bathing dog later,0
tomorrow onwards eve work,0
super msg danalla timing,0
neva tell noe im home da aft wat,0
tell need investigate anywhere,0
kallis dismissial nd test,0
sorry pa dont knw ru pa,0
id onluy matters getting offcampus,0
cthen thk shd enuff still got conclusion contents pg references ill da contents pg cover pg,0
nothing,0
sbut luck catches put,0
means get door,0
says ltgt year old man money im last ltgt still waiting check,0
gonna ring weekend wot,0
hurry ive weeddeficient like three days,0
ya srsly better yi tho,0
yes posted couple pics fb theres still snow outside im waking,0
ever thought living good life perfect partner txt back name age join mobile community psms,1
planned yet going join company jan onlydon know happen,0
ard lor,0
gorgeous keep pix cumming thank,0
dear reached railway happen,0
make lasagna vodka,0
didnt search online let know,0
reach orchard already wan go buy tickets first,0
old orchard near univ,0
ill see prolly yeah,0
mine like fr china noisy,0
dahe stupid daalways sending like thisdon believe messagepandy mental,0
keep seeing weird shit bein woah realising actually reasonable im oh,0
home come within min,0
mm way railway,0
im inside officestill filling formsdon know leave,0
yes appt,0
jus ans lar ull noe later,0
take like noon,0
dont forget place many free requests stchoicecouk wish information call,1
truekdo knw dis ltgt,0
tuition hm go one mind,0
still work going onit small house,0
im ok wif cos like try new things scared dun like mah cos said loud,0
know mallika sherawat yesterday find lturlgt,0
bored speed dating try speedchat txt speedchat dont like em txt swap get new chatter chat poboxwwq pmsg rcd,1
dont use hook,0
think far find check google maps place dorm,0
aiyar dun disturb liao thk lots aft ur cupboard come,0
hope enjoyed new content text stop unsubscribe helpp provided tonesyoucouk,1
phone,0
lol busy,0
ok come pick engin,0
okey dokey ill bit sorting stuff,0
imagine finally get sink bath put paces maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck,0
hey sorry didntgive ya bellearlier hunnyjust bedbut mite go thepub ltr uwana mt uploads luv jenxxx,0
wishing family merry mas happy new year advance,0
remember,0
already one guy loving,0
sure stomach,0
shes good wondering wont say hi shes smiling coping long distance,0
pleased inform application airtel broadband processed successfully installation happen within days,0
early,0
get official england poly ringtone colour flag yer mobile tonights game text tone flag optout txt eng stop box wwx,1
ampm cost,1
picking various points,0
look da lib got stuff havent finish yet,0
says hi get ass back south tampa preferably kegger,0
want latest video handset anytime network mins half price line rental reply call delivery tomorrow,1
lol yes friendship hanging thread cause wont buy stuff,0
yup im free,0
posible dnt live ltgt century cm frwd thnk different,0
predict wat time finish buying,0
free message activate free text messages replying message word free terms conditions visit,1
hi im sorry missed call pls call back,0
wondering others took,0
says hes quitting leasttimes day wudnt take much notice nah didnt mind gonna see want come taunton tonight tell,0
coming funeral home,0
sell well tons coins sell coins someone thru paypal voila money back life pockets,0
one,0
coming friday leave pongaldo get news work place,0
mystery solved opened email hes sent another batch isnt sweetie,0
come life brought sun shiny warming heart putting constant smile face making feel loved cared,0
comin back dinner,0
hi kindly give us back documents submitted loan stapati,0
wats dear sleeping ah,0
thanks hope good day today,0
symptoms love like listening songs get stopped see name beloved wont get angry,0
booked ticket pongal,0
let know changes next hrs even appendix age range however impossible chill let know hrs,0
love ass enjoy doggy style,0
alrite sam nic checkin ur numberso ittb,0
yo dude guess got arrested day,0
hello peach cake tasts lush,0
dizzamn aight ill ask suitemates get back,0
catch bus frying egg make tea eating moms left dinner feel love,0
swhrt deyhope ur ok tot daylove misstake care,0
thats cause old live high,0
cab availablethey pick drop door steps,0
gr handle victoria island traffic plus whens album due,0
yes please swimming,0
uh heads dont much left,0
leaving qatar tonite search opportunityall went fastpls add ur prayers dearrakhesh,0
fyi im usf swing room whenever,0
please dont say like hi hi hi,0
watching tv lor funny bluff wat izzit thk impossible us,0
oh unintentionally bad timing great fingers trains play along give fifteen min warning,0
pick drop carso problem,0
nice line said broken heart plz dont cum times infront wise trust good,0
ever get song stuck head reason wont go away til listen like times,0
nan sonathaya soladha boss,0
lol thats different dont go trying find every real life photo ever took,0
search happiness main sources unhappiness accept life way comes find happiness every moment live,0
hey glad better hear treated urself digi cam good pm fab new year coupla wks,0
mm kanji dont eat anything heavy ok,0
squeeeeeze christmas hug lik frndshp den hug back get cute luvd lucky none people hate,0
printed oh ltgt come upstairs,0
nd time tried contact pound prize claim easy call per minute btnationalrate,1
nothing smsing xy lor sorry lor da guys neva person sort know lor wan meet xy ask bring along next meeting,0
know serving mean,0
wanted wish happy new year wanted talk legal advice gary split person ill make trip ptbo hope everything good babe love ya,0
come right ahmad,0
keep ur problems ur heart bcoz nobody fight amp fight ur self amp win battle vivekanand sd ham yeah give call youve got minute ham hi babe uawakefeellikw shitjustfound via aletter thatmum gotmarried thnovbehind ourbacks fuckinniceselfishdeviousbitchanywayil call,0
good luck draw takes place th feb good luck removal send stop customer services,1
hoping would send message rent due dont enough reserves completely gone loan need hoping could balance ltgt way could get till mid march hope pay back,0
want new video handset time network mins unlimited text camcorder reply call del sat,1
well done blimey exercise yeah kinda remember wot hmm,0
hello madam,0
height oh shit situation guy throws luv letter gal falls brothers head whos gayd,0
may approve panalambut posts,0
spending new years brother family lets plan meet next week ready spoiled,0
babe need advice,0
spook mob halloween collection logo pic message plus free eerie tone txt card spook zed per logopic,1
yun ahthe ubi one say wan call tomorrowcall look ireneere got bus ubi cresubi tech parkph st wkg daysn,0
isnt frnd necesity life imagine urself witout frnd hwd feel ur colleg watll wth ur cell wat abt functions thnk abt events espell cared missed amp irritated wrd dearloving frnds wthout cant live jst takecare goodmorning,0
forget tell want need crave love sweet arabian steed mmmmmm yummy,0
like made throw smoking friends car one time awesome,0
none thats happening til get though,0
possible teach,0
wanna watch movie,0
sea lays rock rock envelope envelope paper paper words,0
jade paul didnt txt remember barmed want talk txt,0
hex place talk explain,0
stop wondering wow ever going stop tming tm whenever want mine laughs,0
started dont stop pray good ideas anything see help guys ill forward link,0
hi moved pub would great cud come,0
im meeting call later,0
im fine hope also,0
yo game almost want go walmart soon,0
cha quiteamuzing thatscool babeprobpop cu satthen hunny brekkie love jen xxx psxtra lrg portions please,0
finished work yet something,0
review keep fantastic nokia ngage game deck club nokia go unsubscribe alerts reply word,1
got lousy sleep kept waking every hours see cat wanted come worry cold,0
ku also dont msg reply msg,0
free day finish mon thurs,0
anytime lor,0
guess spent last night phasing fourth dimension,0
texted finished long time ago showered erything,0
yeah wheres class,0
eh den sat book kb liao huh,0
take didnt phone callon friday assume wont year,0
nothis kallis home groundamla home town durban,0
reached home tired come tomorro,0
really need kiss miss baby ur baby eva,0
wat time finish ur lect today,0
yeah usual guys town therere definitely people around know,0
case wake wondering forgot take care something grandma today done parade,0
hey anyway,0
cash prize claim call,1
haha heard text youre around,0
want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp,1
apps class varaya elaya,0
okie,0
ned convince tht possible witot hurting feeling main,0
captain vijaykanth comedy captain tvhe drunken,0
wan come come lor din stripes skirt,0
mathews tait edwards anderson,0
great comedycant stop laughing da,0
congratulations ur awarded either yrs supply cds virgin records mystery gift guaranteed call tscs pm approx mins,1
lol well quality aint bad aint complaining,0
lol well dont without could big sale together,0
put sign choose number pin show right,0
yun buying school got offer plus,0
dude like buff wind,0
important customer service announcement premier,1
send text well skype later,0
howz persons story,0
ltgt jetton ave forgot,0
hey iouri gave number im wylie ryans friend,0
urgent urgent free flights europe give away call th sept take friend free call claim bannfwflyppm,1
promotion number ur awarded city break could win summer shopping spree every wk txt store skilgme tscswinawkage perwksub,1
av new number wil use oneta,0
hi happy new year dont mean intrude pls let know much tuition paid last semester much semester thanks,0
babe miiiiiiissssssssss need crave geeee im sad without babe love,0
see half hour,0
youve tkts euro cup final cash collect call pobox ppm,1
new mobiles must go txt nokia collect todayfrom optout gbpmtmsg txtauction,1
beerage,0
check maili mailed varma kept copy regarding membershiptake careinsha allah,0
ki deleted contact,0
great diddy neighbor comes toothpaste every morning,0
aiyah ok wat long got improve already wat,0
hey babe doin wot nite love annie,0
monthly password wap mobsicom use wap phone pc,1
sorry ill call later ltgt mins,0
ill look frying pan case cheap book perhaps thats silly frying pan isnt likely book,0
donno scorable,0
probably money worries things coming due several outstanding invoices work two three months ago,0
gd got free ice cream oso wan,0
oh yeah clearly fault,0
youve always brainy one,0
hot live fantasies call per min ntt ltd po box croydon cr wb,1
dunno wat get,0
rofl betta invest anti aging products,0
free entry weekly comp send word enter tc cust care,1
get message,0
poor girl cant go one day lmao,0
clothes jewelry trips,0
bus leaves ltgt,0
sim watching live,0
ee msg na poortiyagi odalebeku hanumanji name hanuman bajarangabali maruti pavanaputra sankatmochan ramaduth mahaveer ee name ltgt janarige ivatte kalisidare next saturday olage ondu good news keluviri maretare inde dodda problum nalli siguviri idu matra ltgt true dont neglet,0
happy birthday may ur dreams come true,0
hows scotland hope showing jjc tendencies take care live dream,0
wot wanna missy,0
want tell bad feel basically times text lately need drugs,0
tell headache want use hour sick time,0
im school ill da lab stuff give call done,0
ltgt mca conform,0
available soiree june rd,0
finish meeting call,0
guaranteed cash prize claim yr prize call customer service representative ampm,1
please call amanda regard renewing upgrading current tmobile handset free charge offer ends today tel subject ts cs,1
always celebrate nys family,0
hmm many unfortunately pics obviously arent hot cakes kinda fun tho,0
dear sleeping,0
ur ringtone service changed free credits go clubmobilescom choose content stop txt club stop pwk club po box mk wt,1
standing,0
timing go lor,0
ill talk others probably come early tomorrow,0
still tonight,0
sms ac sun posts helloyou seem cool wanted say hi hi stop send stop,1
ok come ur home half hour,0
stupid say challenge godyou dont think write instead respond immed,0
got shitload diamonds though,0
mm entirely sure understood text hey ho weekend,0
send copy da report,0
oh ic thought meant mary jane,0
dear call,0
min go lunch,0
deep sigh miss really surprised havent gone net cafe yet get dont miss,0
ew one,0
thts gods gift birds humans hav natural gift frm god,0
dont worry day big lambu ji vl cometil enjoy batchlor party,0
weightloss girl friends make loads money ebay something give thanks god,0
uhhhhrmm isnt tb test bad youre sick,0
please call immediately urgent message waiting,1
guy car shop flirting got phone number paperwork called texted im nervous course may address call boss tell knowing may get fired,0
package programs well,0
thanks vote sing along stars karaoke mobile free link reply sing,1
congrats kanowhr treat maga,0
bring home wendy,0
fps,0
means fat head,0
busy come point figure tomorrow,0
checked heading drop stuff,0
hi spoke maneesha wed like know satisfied experience reply toll free yes,0
unfortunately ive found pick sister airport evening dont think ill going try go one th,0
yeah got one lined us,0
nutter cutter ctter cttergg cttargg ctargg ctagg ie,0
xclusiveclubsaisai morow soiree speciale zouk nichols parisfree roses ladies info,1
yo chad gymnastics class wanna take site says christians class full,0
peteis phone still jenny college leannewhat,0
surely result offer,0
sorry ur msg yar lor poor thing one night tmr ull brand new room sleep,0
hey almost forgot happy bday babe love ya,0
call ltgt min thats ok,0
good evening roger,0
free video camera phones half price line rental mths cross ntwk mins txts call mobileupd calloptout,1
born god said oh another idiot born god said oh competition knew one day two become freinds forever,0
home watching tv lor,0
go home first lar wait lor put stuff first,0
hiding stranger,0
yup thk shop closes lor,0
future planned tomorrow result today best present enjoy future,0
hai priya right doctor said pa,0
jot things want remember later,0
go walmart ill stay,0
couldnt say dying man feel sad go wanted know would probably gone late night,0
thank baby cant wait taste real thing,0
cheers card time year already,0
messages phone im holding,0
mind ask happened dont say uncomfortable,0
wylie tampa sarasota,0
yet chikkugoing room nw im bus,0
course yrs messages messenger lik sending,0
hey cutie goes wales kinda ok like hills shit still avent killed,0
